36.5559349661 , 31.9747078766
36.55438997 , 31.9750441547
36.5538796383 , 31.9761279334
36.5534320192 , 31.9771176843
36.553058057 , 31.9778667278
36.5525802665 , 31.9786803644
36.5520420868 , 31.9796797492
36.5516631579 , 31.9803501024
36.5514295996 , 31.9810660636
36.551112312 , 31.9817132696
36.5512670138 , 31.9824709937
36.551112374 , 31.9831333369
36.5508291025 , 31.9837305082
36.5505394027 , 31.9842048323
36.5505077618 , 31.9848781872
36.5508423158 , 31.9854721603
36.551196613 , 31.9861654275
36.5514031291 , 31.9865543138
36.5512828341 , 31.9875065713
36.5513259951 , 31.9882095353
36.551225615 , 31.9887187674
36.550436626 , 31.9891187885
36.5500010457 , 31.9895861241
36.5495960686 , 31.9900031871
36.5490839334 , 31.9903992844
36.548722794 , 31.9907353988
36.5483058668 , 31.9914366733
36.5479807783 , 31.9920534728
36.5475744758 , 31.9928017751
36.5474175224 , 31.9935235905
36.5474347607 , 31.9944502283
36.5473115556 , 31.9954366656
